PACKAGE CODE ,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI
1012002,E.N.T.,THROAT SURG.    ,ADENOTONSILECTOMY,4360.5
2012004,GENERAL SURG.,MEDIUM SURG,ANAL FISSURECTOMY,5508.0
2012018,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY / SURGICAL,6081.75
2012021,GENERAL SURG.,MEDIUM SURG,"INGUINAL, UMBILICAL OR FEMORAL HERNIA",6655.5
2012022,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY / LAPARASCOPIC ,8950.5
2012005,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY ,5737.5
2013006,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY / LAPARASCOPIC ,14458.5
2013004,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY,9225.0
2013020,GENERAL SURG.,MAJOR SURG,PARTIAL THYROIDECTOMY (SUB-TOTAL),9203.625
2014023,GENERAL SURG.,FINE MAJOR SURG,OVARIAN CYSTECTOMY / LAPARASCOPIC ,8408.25
2014045,GENERAL SURG.,FINE MAJOR SURG,THYROIDECTOMY / TOTAL,11589.75
3011003,OBS & GYN,MINOR SURG,D WITH C WITH BIOPSY,2754.0
3015008,OBS & GYN,DELIVERY,DELIVERY NORMAL (WITH NORMAL BABY),4475.25
3015002,OBS & GYN,DELIVERY,DELIVERY CAESARIAN WITH NORMAL BABY,11016.0
3015005,OBS & GYN,DELIVERY,DELIVERY CAESARIAN REPEATED (WITH NORMAL BABY),13315.274999999998
5013053,UROLOGY,MAJOR SURG,URETEROLITHOTOMY,10453.5
5013054,UROLOGY,MAJOR SURG,URETERORENOSCOPY WITH STONE EXTRACTION,11126.249999999998
5014024,UROLOGY,FINE MAJOR SURG,URETHROLITHOTOMY (MIDDLE AND LOWER 1/3 CRUSHING),10453.5
5021001,UROLOGY,LITHOTREPSY,E S W L FIRST SESSION,8491.5
6013024,ORTHOPEDIC,MAJOR SURG,OPEN REDUCTION AND INTERNAL FIXATION FOR COMMINUTED /MALUNITED FRACTURES OF TEMUR TIBIA AND HUMERUS,10989.0
6013025,ORTHOPEDIC,MAJOR SURG,OPEN REDUCTION AND INTERNAL FIXATION OR PARTIAL/TOTAL EXCISION OF PATTALA,9009.0
6013026,ORTHOPEDIC,MAJOR SURG,"OPEN REDUCTION FOR FRACTURE DISLOCATION OF ANKLE, WRIST AND ELBOW.",10810.800000000001
6014040,ORTHOPEDIC,FINE MAJOR SURG,OPEN REDUCTION AND INTERNAL FIXATION FOR FRACTURES OF THE RADIUS WITH SCREWS PLATES,7028.775000000001
1011001,E.N.T.,NOSE SURG.,ANTERIOR NASAL PACK (U.G.A.),1502.0
1011002,E.N.T.,NOSE SURG.,MIDDLE MEATUS ANTROSTOMY/BILATERAL,7533.0
