SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI
2112007,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY),1440
2112009,ROOM & BOARD,ACCOMODATION,CACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY),1440
2112010,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY),1440
2112011,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - PER DAY  (BED ONLY),1440
7121290,LABORATORY,CHEMISTRY,FT3,288
7121285,LABORATORY,CHEMISTRY,FREE T4,180
7121019,LABORATORY,CHEMISTRY,ALBUMIN,68
7121108,LABORATORY,CHEMISTRY,BUN,68
7121202,LABORATORY,CHEMISTRY,"CREATININE, SERUM",68
7121228,LABORATORY,CHEMISTRY,DIRECT BILIRUBIN,68
7121308,LABORATORY,CHEMISTRY,GLUCOSE (SERUM) FASTING,68
7121309,LABORATORY,CHEMISTRY,GLUCOSE (SERUM) RANDOM,68
7121555,LABORATORY,CHEMISTRY,SGOT (AST),68
7121556,LABORATORY,CHEMISTRY,SGPT (ALT),68
7121562,LABORATORY,CHEMISTRY,"SODIUM, SERUM OR URINE",68
7121597,LABORATORY,CHEMISTRY,TOTAL BILIRUBIN,68
7121602,LABORATORY,CHEMISTRY,"TOTAL PROTEIN, SERUM",68
7121625,LABORATORY,CHEMISTRY,URIC ACID (SERUM),68
7122013,LABORATORY,HEMATOLOGY,GLYCOSYLATED HEMOGLOBIN (HB AIC),383
7122005,LABORATORY,HEMATOLOGY,CBC WITH DIFFERENTIAL COUNT,117
7122007,LABORATORY,HEMATOLOGY,COMPLETE BLOOD COUNT (CBC),108
7125004,LABORATORY,IMMUNO/SEROLOGY,C-REACTIVE PROTEIN (CRP),180
7123003,LABORATORY,MICROBIOLOGY,BLOOD CULTURE,153
7124001,LABORATORY,URINE AND STOOL ANALYSIS,ROUTINE URINE ANALYSIS,68
7124008,LABORATORY,URINE AND STOOL ANALYSIS,ROUTINE STOOL ANALYSIS,68
2182001,NEPHROLOGY,HAEMODIALYSIS,HAEMODIALYSIS FIRST SESSIONS ,1620
2182002,NEPHROLOGY,HAEMODIALYSIS,HAEMODIALYSIS REGULER SESSION,1350
1112021,CONSULTATION,CONSULTATION,SECA TEST DONE BY DIETITIAN,100
2014051,GENERAL SURG.,FINE MAJOR SURG,PRE-OPERATIVE INVESTIGATION,400
8123001,RADIOLOGY,MRI,MRI WITHOUT CONTRAST ,1200
8123002,RADIOLOGY,MRI,MRI ADDITIONAL ORGAN,1200
8123003,RADIOLOGY,MRI,MRI WITH CONTRAST ,1200
8123004,RADIOLOGY,MRI,MRI PELVIMETRY,1200
8123007,RADIOLOGY,MRI,MRI SPECTROMETRY,1200
8123008,RADIOLOGY,MRI,MRI UROGRAPHY,1200
8123009,RADIOLOGY,MRI,MRI CHOLANGIOGRAPHY / GALL BLADDER,1200
8123012,RADIOLOGY,MRI,MRI ARTHROGRAPHY WITH CONTRAST,1200
8123013,RADIOLOGY,MRI,MRI OF THE PITUITARY GLAND WITH CONTRAST,1200
8123014,RADIOLOGY,MRI,MRI OF TMJ,1200
8123015,RADIOLOGY,MRI,MRI BRAIN,1200
8123016,RADIOLOGY,MRI,MRI BRAIN WITH CONTRAST,1200
8123017,RADIOLOGY,MRI,MRI NECK WITH CONTRAST,1200
8123018,RADIOLOGY,MRI,MRI NECK ,1200
8123019,RADIOLOGY,MRI,MRI ORBIT WITH CONTRAST,1200
8123020,RADIOLOGY,MRI,MRI ORBIT ,1200
8123021,RADIOLOGY,MRI,MRI CHEST WITH CONTRAST,1200
8123022,RADIOLOGY,MRI,MRI CHEST ,1200
8123023,RADIOLOGY,MRI,MRI ABDOMEN WITH CONTRAST,1200
8123024,RADIOLOGY,MRI,MRI ABDOMEN ,1200
8123025,RADIOLOGY,MRI,MRI PLEVIS WITH CONTRAST,1200
8123026,RADIOLOGY,MRI,MRI PELVIS ,1200
8123027,RADIOLOGY,MRI,MRI SHOULDER WITH CONTRAST,1200
8123028,RADIOLOGY,MRI,MRI SHOULDER,1200
8123029,RADIOLOGY,MRI,MRI ELBOW WITH CONTRAST,1200
8123030,RADIOLOGY,MRI,MRI ELBOW ,1200
8123031,RADIOLOGY,MRI,MRI WRIST/HAND WITH CONTRAST,1200
8123032,RADIOLOGY,MRI,MRI WRIST/HAND ,1200
8123033,RADIOLOGY,MRI,MRI KNEE WITH CONTRAST,1200
8123034,RADIOLOGY,MRI,MRI KNEE ,1200
8123035,RADIOLOGY,MRI,MRI ANKLE/FOOT WITH CONTRAST,1200
8123036,RADIOLOGY,MRI,MRI ANKLE/FOOT ,1200
8123037,RADIOLOGY,MRI,MRI C. SPINE WITH CONTRAST,1200
8123038,RADIOLOGY,MRI,MRI C. SPINE,1200
8123039,RADIOLOGY,MRI,MRI DORSAL SPINE WITH CONTRAST,1200
8123040,RADIOLOGY,MRI,MRI DORSAL SPINE,1200
8123041,RADIOLOGY,MRI,MRI LUMBER SPINE WITH CONTRAST,1200
8123042,RADIOLOGY,MRI,MRI LUMBER SPINE ,1200
8123043,RADIOLOGY,MRI,MRI BRACHIAL PLEXUS,1200
8123044,RADIOLOGY,MRI,MRI BREAST WITH CONTRAST,1200
8123045,RADIOLOGY,MRI,MRI BREAST ,1200
8123059,RADIOLOGY,MRI,MRI ARM WITH CONTRAST,1200
8123060,RADIOLOGY,MRI,MRI ARM ,1200
8123061,RADIOLOGY,MRI,MRI FOREARM WITH CONTRAST,1200
8123062,RADIOLOGY,MRI,MRI FOREARM ,1200
8123063,RADIOLOGY,MRI,MRI HIP JOINT WITH CONTRAST,1200
8123064,RADIOLOGY,MRI,MRI HIP JOINT ,1200
8123065,RADIOLOGY,MRI,MRI FEMUR WITH CONTRAST,1200
8123066,RADIOLOGY,MRI,MRI FEMUR,1200
