CODE,NAME,Price,LOS,Service Type,Insurance,SBS CODE 1,Code Hyphanated,Description,SBS CODE 2,Code Hyphanated.1,Description.1,SBS CODE 3,Code Hyphanated.2,Description.2,SBS CODE 4,Code Hyphanated.3,Description.3,SBS CODE 5,Code Hyphanated.4,Description.4,SBS CODE 6,Code Hyphanated.5,Description.5
CAR-0001,HEART CATHETRIZATION,7260.0,1 DAY,PKG,Total Care PL,382060000,38206-00-00,Right and left heart catheterisation,,,,,,,,,,,,,,,
CAR-0002,R & LHC,9075.0,1 DAY,PKG,Total Care PL,382000000,38200-00-00,Right heart catheterisation,382030000,38203-00-00,Left heart catheterisation,,,,,,,,,,,,
CAR-0003,LHC + GRAFT,9075.0,1 DAY,PKG,Total Care PL,382030000,38203-00-00,Left heart catheterisation,,,,,,,,,,,,,,,
CAR-0004,PTCA SV,18150.0,1 ICU + 1 WARD,PKG,Total Care PL,383000000,38300-00-00,"PTCA, 1 coronary artery",,,,,,,,,,,,,,,
CAR-0005,PTCA DV,26620.0,1 ICU + 1 WARD,PKG,Total Care PL,383000000,38300-00-00,"PTCA, 1 coronary artery",,,,,,,,,,,,,,,
CAR-0006,PTCA DV + STENT,42350.0,1 ICU + 3 WARDS,PKG,Total Care PL,383060000,38306-00-00,"Perc ins trnslml stent, sgl coron artery",,,,,,,,,,,,,,,
CAR-0007,PTCA SV + STENT,30250.0,1 ICU + 1 WARD,PKG,Total Care PL,383060000,38306-00-00,"Perc ins trnslml stent, sgl coron artery",,,,,,,,,,,,,,,
CAR-0008,PTCA DV + 2 STENT,60500.0,1 ICU + 3 WARDS,PKG,Total Care PL,383060200,38306-02-00,Perc ins >=2 trnslml stnt coron arteries,,,,,,,,,,,,,,,
CAR-0009,PTCA DV + 3 STENT,72600.0,1 ICU + 3 WARDS,PKG,Total Care PL,353070100,35307-01-00,"PTA single carotid artery, mult stents",,,,,,,,,,,,,,,
CAR-0010,PTCA DV + 4 STENT,78650.0,1 ICU + 3 WARDS,PKG,Total Care PL,383060200,38306-02-00,Perc ins >=2 trnslml stnt coron arteries,,,,,,,,,,,,,,,
CAR-0011,PTCA SV + 3 STENT,42350.0,1 ICU + 3 WARDS,PKG,Total Care PL,383060100,38306-01-00,Perc ins mult trnslml stnt sgl coron art,,,,,,,,,,,,,,,
CAR-0012,INTRA AORTIC BALOON PUMP,24200.0,1 ICU + 3 WARDS,PKG,Total Care PL,383620000,38362-00-00,Perc insertion intra-aortic balloon pump,,,,,,,,,,,,,,,
