PC_PRVSRVCODE,PC_PRVSRVDESC,PC_STRTDATE,PC_ORPRICE
ORX4,MOHAMED MOHIUDDIN MALIBAR,2021-02-01,525.6
MS-C-000050,COVER STERILE F/CAMERA 13*2,2021-02-01,51.45
SMO12086,SCREW CANCELLOUS PARTIALL,2021-02-01,967.0500000000001
MS-B-000008,SCALPEL BLADE SIZE 15W/HAN,2021-02-01,7.3500000000000005
MS-B-001908,BONE CRAFT CHUPS CANCELLO,2021-02-01,1890.0
MS-S-000113,SUTURE PROLENE 1 BLUE 100CM ETHICON/COVIDIEN #W742/CP-535,2021-01-01,48.76
MS-S-000114,SUTURE PROLENE 2-0 BLUE 100CM ETHICON/COVIDIEN #W8689/SP-689,2021-01-01,63.95
MS-B-000035,BAG URINE DRAINAGE 2000ML NON STERILE,2021-01-01,13.23
P09ENSUR1QC,ENSURE PLUS NG VANILLA 200ML,2021-01-01,6.0
MS-M-000002,MASK OXYGEN ADULT NON-REBREATHING #MP01920,2021-01-01,82.71000000000001
0000000000,USE OF FACILITIES - 327,2021-01-01,360.0
MS-T-000874,"TAPE DURAPORE SILKPLAST 2""X5YDS PHARMAPLAST #5045",2021-01-01,0.01
MS-S-001937C,SOLUTION SCRUB STAT 4% CHLOROHEXIDINE & 4% ALCOHOL NAPHSEPT (BTL/1000ML),2021-01-01,101.25
ADMISSION002,FOR OPERATION,2021-01-01,1.0
MS-S-000106,SUTURE MERSILK 0 BLACK 75CM ETHICON/COVIDIEN #W782H/SS-647,2021-01-01,31.970000000000002
MS-S-000131,SUTURE VICRYL 0 VIOLET 75CM ETHICON/COVIDIEN #W9230-VCP352H/CL-802,2021-01-01,36.75
MS-P-003784,PLATE LOCKING 2.7MM RADIUS NECK 3X40(5+3). IRENE # A93095340,2021-01-01,1268.4
MS-S-000128,SUTURE VICRYL 3/0 ETHICON #VCP497H/W9516T/VCP683 COVIDIEN #SL1654,2021-01-01,62.480000000000004
FMORCR0003,MINOR C ARM - 180 MIN - UNDER OR,2021-01-01,2457.0
MS-E-000242,ELECTRODE SPLIT RETURN DISPOSABLE FOR CHILD 5 TO 15 KG ERBE # 20193-071,2021-01-01,97.19
MS-P-002153,PLATE ADAPTION  MATRIXNEURO 20 HOLES 0.4MM PURE TITANIUM SYNTHES # 04.503.072,2021-01-01,2764.12
P11TETAV1J,TETAVAX (TETANUS) VACCINE SYR X 1,2021-01-01,15.700000000000001
MS-C-000001,CANNULA IV VENFLON 24G W/O PORT,2021-01-01,6.44
MS-B-000007,BLADE SCALPEL #11 W/HANDLE STERILE DISP.,2021-01-01,44.11
MS-F-000064,FILTER HME TWINSTAR HEPA DRAGER#MP01801,2021-01-01,67.15
MS-S-000085,SPIROMETER AIR INCENTIVE INTERTECH #2000/8888-719033,2021-01-01,85.26
MS-S-000153,SET ADMN DOSIFIX PEDIA 150ML SPAIN #403701/4 /DFP-87-F,2021-01-01,77.13
