S/No,ItemCode,Name,Price/ Unit,price of 1/2/2021,price of 1/2/2022,GMDN 1,GMDN 2,GMDN 3
1,MS-A-000079,ANCHOR BIOPUSHLOCK 3.5 X 19.5MM ARTHREX #AR-1926B,1925.0,2118,2330,45061,,
2,MS-A-000118,ARGON HANDSET COVIDIEN #E2520H,1016.0,1118,1230,44774,,
3,MS-A-000127,APPLICATOR ARISTA AH 5G EUROPE FOR HEMOSTATIC# SM0007,1500.0,1650,1815,58059,,
4,MS-A-000154,ABLATOR 90DEG MULTI-PORT ASPIRATING ARTHREX #AR-9811,1800.0,1980,2178,46119,,
5,MS-A-000158,ACETABULAR CLUSTER 54MM STRYKER # 542-11-54F,6842.5,7527,8280,48055,,
6,MS-A-000460,ADVANTAGE GLIDEWIRE DIFFERENT SIZES TERUMO # RA*FA14301CM,2450.0,2695,2965,46165,,
7,MS-A-000471,ADAPTER IAB CATHETER F/ARROW PUMP MAQUET # 068400-0510-01,469.0,516,568,34919,,
8,MS-A-000472,ARTICUL EZE M 36MM X 8.5 . JOH. & JOH. # 136553000,4200.0,4620,5082,44855,,
9,MS-A-000492,"ANTI VARICOSE STOCKING COTTON COMPRESSION DIABETIC SIGVARIS#P16COTON4 SIGVARIS, SWITZERLAND # P16COT",204.75,226,249,No codes,,
10,MS-A-000498,ACTOLIND W GEL#MTEX#71215 MODERN PHARMACEUTICAL # 71215,196.0,216,238,No codes,,
11,MS-A-000499,ACTOLIND W SOLUTION 1000ML#MTEX#71219 MODERN PHARMACEUTICAL # 71219,630.0,693,763,No codes,,
12,MS-A-000500,ACTOLIND W SOLUTION 500 ML#MTEX#6074 MODERN PHARMACEUTICAL # 6074,253.75,280,308,16807,,
13,MS-A-000503,"AMPLATZER VASCULAR PLUGSIZE 12,FREESIZES MEDISERV # 9-PLUG-012",7000.0,7700,8470,46852,,
14,MS-A-000507,ARTICUL/EZE M 28MM +1.5 JOH. & JOH. # JOLOP136511500,4200.0,4620,5082,44855,,
15,MS-A-000509,ALTRIX NEUT 36IDX58OD JOH. & JOH. # JOLOP122136058,3150.0,3465,3812,13017,,
16,MS-A-000510,ARTIC DELTA CERAMIC 36MM+8.5 JOH. & JOH. # JOLOP136536330,4200.0,4620,5082,58937,,
17,MS-A-000512,ALTRX POLYETHYLENE ACETABULAR LINER NEUTRAL 32MM ID 50MM OD. JOH. & JOH. # 1221-32-050,1900.0,2090,2299,44896,,
18,MS-A-000518,ANTI ADHESION GEL STERILE ABSORBABLE . MEDTRONIC # 9380003,4375.0,4813,5295,62390,,
19,MS-A-000521,ACETABULAR POLYETHYLENE LINER NEUTRAL 32MM ID 52MM OD.JOH. & JOH. #1219-32-052,1800.0,1980,2178,43168,,
20,MS-A-000524,AUTOCPAP/APAP DEVICE AIRSENSE 10  F/ OBSTRUCTIVE SLEEP APNEA INCLUDING STD. ACCESSORIES RESMED #3726,6839.49,7524,8277,60711,,
21,MS-A-000534,"ADAPTER FEMORAL 5 DEGREE .JOH ,JOH #96-0781",4375.0,4813,5295,58715,,
22,MS-B-000243,BLADE EVAC 70 XTRA PLASMA WAND F/COBLATOR II #EIC5872-01,2100.0,2310,2541,61817,,
23,MS-B-000302,BIPOLAR HEMI ARTHROPLASTY DIFFERENT SIZES,9750.0,10725,11798,33695,,
24,MS-B-000309,BUTTON XO WITH 15MM CONTINUOUS LOOP LINVATEC #T5015,1925.0,2118,2330,65038,,
25,MS-B-000310,BUTTON XO WITH 20MM CONTINUOUS LOOP LINVATEC #T5020,1600.0,1760,1936,65038,,
26,MS-B-000311,BUTTON XO WITH 25MM CONTINUOUS LOOP LINVATEC #T5025,2362.5,2599,2859,65038,,
27,MS-B-000323,BUR OVAL REDUCED HOOD  4.0MM LINVATEC #H9101RH,2363.0425,2600,2860,45553,,
28,MS-B-000410,BREAST PUMP KIT,480.62,529,582,61733,61734.0,
29,MS-B-000412,BOLT M6X30 ORT-TIP TIPMED# 31002011030,6.0,7,8,16077,,
30,MS-B-000413,BOLT 12MM TIPMED #042662,42.5,47,52,16077,,
31,MS-B-000416,BAND TR STD. 20CM RADIAL ARTERY HAEMOSTASIS DEVICE TERUMO # XX*RF06,332.5,366,403,58704,,
32,MS-B-000437,BONE CEMENT HV-RTM SOFAMOR# C01A,1320.0,1452,1598,35217,,
33,MS-B-000446,BURR-2 ROSEN D2.3MM FOR HI-LINE XS AESCULAP #GE504R,1323.0,1456,1602,43555,,
34,MS-B-000447,BURR-2 ROSEN D3.1MM FOR HI-LINE XS AESCULAP #GE506R,1323.0,1456,1602,43555,,
35,MS-B-000448,BURR-2 ROSEN D5.0MM FOR HI-LINE XS AESCULAP #GE508R,2100.0,2310,2541,43555,,
36,MS-B-000449,BURR-2 DIAMOND D2.3MM FOR HI-LINE XS AESCULAP #GE514R,1323.0,1456,1602,43555,,
37,MS-B-000450,BURR-2 DIAMOND D3.1MM FOR HI-LINE XS AESCULAP #GE516R,1323.0,1456,1602,43555,,
38,MS-B-000451,BURR-2 DIAMOND D5.0MM FOR HI-LINE XS AESCULAP #GE518R,2100.0,2310,2541,43555,,
