CODE,NAME,CODE.1,current price ,price of 1/2/2021
CAR-0001,HEART CATHETRIZATION,CAR-0001,6600.0,7260.0
CAR-0002,R & LHC,CAR-0002,8250.0,9075.0
CAR-0003,LHC + GRAFT,CAR-0003,8250.0,9075.0
CAR-0004,PTCA SV,CAR-0004,16500.0,18150.0
CAR-0005,PTCA DV,CAR-0005,24200.0,26620.0
CAR-0006,PTCA DV + STENT,CAR-0006,38500.0,42350.0
CAR-0007,PTCA SV + STENT,CAR-0007,27500.0,30250.0
CAR-0008,PTCA DV + 2 STENT,CAR-0008,55000.0,60500.0
CAR-0009,PTCA DV + 3 STENT,CAR-0009,66000.0,72600.0
CAR-0010,PTCA DV + 4 STENT,CAR-0010,71500.0,78650.0
CAR-0011,PTCA SV + 3 STENT,CAR-0011,38500.0,42350.0
CAR-0012,INTRA AORTIC BALOON PUMP,CAR-0012,22000.0,24200.0
CAR-0013,DIRECTIONAL ARTHRECTOMY,CAR-0013,26400.0,29040.0
CAR-0014,RT HEART CATHERIZATION W/O SHUNT RUN,CAR-0014,4400.0,4840.0
CAR-0015,TEMPORARY PACEMAKER,CAR-0015,2200.0,2420.0
CAR-0016,PULMONARY VALVUPLASTY W/ RHC + SHUNT,CAR-0016,16500.0,18150.0
CAR-0017,CARDIOVERSION / DEFIBRILLATION,CAR-0017,2200.0,2420.0
CAR-0018,VVD (PERMANENT PACEMAKER),CAR-0018,49500.0,54450.0
CAR-0019,MITRAL VALVULOPLASTY,CAR-0019,38500.0,42350.0
CAR-0020,VVI (PERMANENT PACEMAKER),CAR-0020,44000.0,48400.0
CAR-0021,CORONARY ANTERY BYPASS GRAFTING w/o Cath,CAR-0021,35000.0,38500.0
CAR-0022,VVIR (PERMANENT PACEMAKER),CAR-0022,60500.0,66550.0
CAR-0023,VALVE REPLACEMENT W/OUT VALVE COST,CAR-0023,35000.0,38500.0
CAR-0024,DDDI (PERMANENT PACEMAKER),CAR-0024,66000.0,72600.0
CAR-0025,ASD CLOSURE,CAR-0025,55000.0,60500.0
CAR-0026,PERCARDIOCENTESIS,CAR-0026,1650.0,1815.0
CAR-0027,PTCA TV + 4 STENT,CAR-0027,77000.0,84700.0
CAR-0028,PTCA DV + 5 STENT,CAR-0028,77000.0,84700.0
CAR-0029,PTCA TV,CAR-0029,33000.0,36300.0
CAR-0030,PTCA TV + STENT,CAR-0030,50600.0,55660.0
CAR-0031,PTCA TV + 2 STENT,CAR-0031,61600.0,67760.0
CAR-0032,PTCA TV + 3 STENT,CAR-0032,71500.0,78650.0
CAR-0033,PTCA TV + 5 STENT,CAR-0033,82500.0,90750.0
CAR-0034,ROTABLATOR APPL,CAR-0034,49500.0,54450.0
CAR-0035,RT HEART CATHERIZATION W/SHUNT RUN,CAR-0035,5500.0,6050.0
CAR-0036,E.P STUDY,CAR-0036,20090.90909090909,22100.0
CAR-0037,PULMONARY VALVUPLASTY,CAR-0037,13200.0,14520.0
CAR-0050,COST OF VALVE,CAR-0050,5000.0,5500.0
ENT-0001,ADENOIDECTOMY ,ENT-0001,1980.0,2178.0
ENT-0002,SMD,ENT-0002,1650.0,1815.0
ENT-0003,EXCISION OF LUMPS FROM NECK AND HEAD,ENT-0003,2970.0,3267.0
ENT-0004,DRAINAGE OF ABCESS NECK,ENT-0004,2200.0,2420.0
ENT-0005,UPPER ENDOSCOPY BIOPSY,ENT-0005,2420.0,2662.0
ENT-0006,DRAINAGE OF QUINZY,ENT-0006,1650.0,1815.0
ENT-0007,NASAL POLYPECTOMY ,ENT-0007,2200.0,2420.0
ENT-0008,DIRECT LARIGOSCOPY WITH BIOPSY,ENT-0008,2750.0,3025.0
