SERVICE CODE,DESCRIPTION,GROSS PRICE,50% discount,NET PRICE,SBS V2
ICU001,ICU/CCU (1st to 3rd Day),5600,0.5,2800,83610-03-70
ICU002,ICU/CCU (4th to 7th Day),5200,0.5,2600,83610-03-70
ICU003,ICU/CCU (8th Day onwards including LTC),4600,0.5,2300,83610-03-70
NEWBORN/PAEDIA ICU(NICU/PICU), , , , ,
SERVICE CODE,DESCRIPTION, , , ,
NICU001,NICU/PICU (1st to 3rd Day),5600,0.5,2800,83610-03-30
NICU002,NICU/PICU (4th to 7th Day),5200,0.5,2600,83610-03-30
NICU003,NICU/PICU (8th Day onwards including LTC),4600,0.5,2300,83610-03-30
ADMISSIONS OTHER THAN INTENSIVE CARE, , , , ,
SERVICE CODE,DESCRIPTION, , , ,
WARD001,Hospital Care Per Diem (1st to 3rd Day),2400,0.5,1200,83610-01-00
WARD002,Hospital Care Per Diem (4th to 7th Day),2400,0.5,1200,83610-01-00
WARD003,Hospital Care Per Diem (8th Day onwards including LTC),2400,0.5,1200,83610-01-00
 ,,,,,
