Code,Discription,Price list,price of 01/02/2021
AN001,WALEED SAAD AL DIN TAHA EL SAYED,consultation fee,consultation fee
CC022,EMAD LABIB ABDELHAMID MAHMOUD,consultation fee,consultation fee
CD007,MOHAMED ZEINHOM ALI AHMED SALEH,consultation fee,consultation fee
CD011,MOHAMMAD AL SHAHAT ALI OMAR,consultation fee,consultation fee
CD012,IBRAHIM ABDEL SALAM SAYED AHMED SALEM,consultation fee,consultation fee
CD013,MOSTAFA AHMED MAHMOUD ,consultation fee,consultation fee
CD014,OSAMA ALHADRAMY  ,consultation fee,consultation fee
FMPDT-0100,CONSULTATION OF PARENTS,45,50
CT006,ASHRAF FAWAZY MAHMOUD GABER,consultation fee,consultation fee
CT011,MAREK  EHRLICH,consultation fee,consultation fee
CT013,CARLO DE VINCENTIIS,consultation fee,consultation fee
CT015,LABIB MAHROUS IBRAHIM AMRO,consultation fee,consultation fee
DN014,MAX  HEILAND,consultation fee,consultation fee
DN016,SHAIMA GALAL ABDULHAMEED MOHAMMED,consultation fee,consultation fee
DN017,ABEER  NAMANKANY,consultation fee,consultation fee
DN020,NAYERA  ATEF SAYED MOHAMMED MORSY,consultation fee,consultation fee
DN021,IBRAHIM MOHAMMED NOURWAI ,consultation fee,consultation fee
DN022,HADY MOHAMED ABDEL HAMID ,consultation fee,consultation fee
DN023,ALI AHMED ASSIRY ,consultation fee,consultation fee
DN024,MOHAMMED DHAIFALLAH M ALSEHAIMI,consultation fee,consultation fee
DR004,FIERLBECK  ,consultation fee,consultation fee
DR012,MED GERHARD  HAIDL,consultation fee,consultation fee
DR014,HANY ABDELAZIZ ABDELSALAM ABDELAZIZ ,consultation fee,consultation fee
DR016,INASS MOSTAFA MOHAMMAD ,consultation fee,consultation fee
DR017,MOHAMMED SAAD ABDUL KAREEM KARDI,consultation fee,consultation fee
DSPDS-0003,"INJ.OF SCLEROTHERAPY FOR HAE-  MANGIOMA, TONGUE/SITE",680,748
DT003,REEM MAGDY GHABBANY ,consultation fee,consultation fee
DT004,ABEER ABDULLAH ,consultation fee,consultation fee
ER007,AHMED SAYED GAFAR  ,consultation fee,consultation fee
ER024,MOHAMED TALAAT ATIA HAMED ,consultation fee,consultation fee
ER025,AHMED ELSAYED GHONAME GHOAME ,consultation fee,consultation fee
ER027,OSAMA FATHY FAHMY IBRAHIM ,consultation fee,consultation fee
ER028,MOHAMED ABDELHAMID MOHAMED ABDELHAMID,consultation fee,consultation fee
ER029,OMAR ABDULLAH MOHAMMED HARIZ,consultation fee,consultation fee
ER030,MAHMOUD BRAHIM KHATTRY,consultation fee,consultation fee
