TARIFF,SERVICE_NAMEE,CODE,NAME,DEPARTMENT_NAME,PRICE,price of 1/2/2021,ADA CODE - ONLY FOR DENTAL,CCHI BS  CODE 1,CCHI BS  CODE 2,CCHI BS  CODE 3,CCHI BS  CODE 4,CCHI BS  CODE 5,CCHI BS  CODE 6,CCHI BS  CODE 7,AUDIT DESCRIPTION,Comment
TUIC,CONSULTATIONS,ANAN011271,MEDHAT ABDELFATTAH MOHAMED,ANAESTHESIA,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,ANAN011467,GEHAN FAWZY MAHMOUD EZZ,ANAESTHESIA,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CRCA011211,ESLAM ABDELKARIM MOURSY EISSA,CARDIOLOGY,Consultation-In and Outpatient,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CRCA011221,ABDELAZIZ AL ZAIDI,CARDIOLOGY,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CRCA011347,SAYED MOHAMED MANTAWY,CARDIOLOGY,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CRCA030785,HANI NABIL SHEBLY,CARDIOLOGY,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CRCA030800,ADEL ABDELGAWAD ABDELAZIM,CARDIOLOGY,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CRCA030990,ABDELKAREEM HAMED ABDELKAREEM HUSSIEN,CARDIOLOGY,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CRCA031282,ASMAA GOMAA EID MOUSTAFA,CARDIOLOGY,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CSCS011364,MOHAMMED  FOUAD,CARDIO THORACIC SURGERY,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,CSCS031085,AHMED ABDELAZIZ AHMED MOHAMMED,CARDIO THORACIC SURGERY,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,DMDL011289,HORIYA ABDULLAH HUSAIN ALMASARI,DENTAL,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,DMDL030659,MOHAMED ABOULSEOUD ELSAID,DENTAL,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,DMDL030965,REIHAM WAHEID KHAMSAN,DENTAL,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,DMDL081464,WALA  ALHEMAIDI,DENTAL,140,154.0,,,,,,,,Not Applicable/No codes,,
TUIC,CONSULTATIONS,DRDE010993,MOUSTAFA AHMED ELSAIED HUSSEIN,DERMATOLOGY,140,154.0,,,,,,,,Not Applicable/No codes,,
