Unnamed: 0,Inclusions and Exclusions of the PACKAGES charging system,المحتويات والإستثناءات لنظام العمليات االشاملة
,,
A-,Inclusions:,أ - المحتويات
1,"Surgeon Fees, Assistant and OR Nursing.",رسوم الجراح، المساعد وأو التمريض.
2,"OR use with instrumentations, disposables and consumables, etc…",استخدام غرفة العمليات مع الأدوات المستخدمة والمستهلكات والمواد الاستهلاكية، الخ ...
3,"Accommodation in a Shared Room (Unless ICU or CCU is included). Any Upgrade will be paid as extra charges. Discharge Time Policy is at 12:00 noon, with a grace period of two hours.",الإقامة في غرفة مشتركة (ما لم يتم تضمين العناية العناية الفائقة). سيتم دفع أي ارتقاء بدرجة الغرفة كرسوم إضافية. مع العلم بأن ساعة الخروج المحددة حسب نظام المستشفى هي الساعة 12:00 ظهراً مع فترة سماح لمدة ساعتين. 
4,"Anesthesia (Doctor, Instrumentations, Consumables and Medication); & Nursing Care",التخدير (الطبيب، الأدوات المستخدمة ، المواد الاستهلاكية والأدوية). والرعاية التمريضية
5,Regular Medication related directly to the Operation during admission.,الأدوية العادية المتصلة مباشرة بالعملية خلال مدة التنويم.
6,Post operative regular investigation related to the operation.,الفحوصات المخبرية والأشعة العادية لما بعد العملية والمرتبطة بالعملية.  
7,"Any Subscequent package done at the same time with the same surgeon will have 50 % discount on the lower priced package; otherwise, NO Discount is applied.",أي عمليات شاملة لاحقة تجرى في نفس الوقت مع نفس الجراح ستأخذ خصم 50٪ على العمليات الشاملة الأقل سعرا. ما عدا ذلك، لا يتم تطبيق الخصم.
,,
B- ,Exclusions:,ب - الإستثناءات
1,Any Complication related or not related to the Operation with all its consequences.,أي مضاعفات ذات الصلة أو علاقة بالعملية أو بدون صلة مع كل التبعات.
2,"PCA (Patient-controlled Analgesia), since it is patient specific (Analgesics are Included).",جهاز تسكين الألم بإرادة المريض (ولكن تشمل المسكنات).
3,"All investigations and/or medication done during the extra days of admission (ward, ICU or CCU).",جميع الفحوصات و / أو الأدوية خلال الأيام الإضافية للتنويم خارج الأيام المحددة.
,Pre-Op Investigation; which will be charged seperatly.,جميع الفحوصات ما قبل العملية واللتي ستحسب خارج سعر العملية الشاملة .
4,Blood and Blood Component.,الدم ومكونات الدم.
5,"ALL Major consumables, Prosthesis and/or Implants such as stents & Coils.",جميع الأعضاء التعويضية و / أو التركيبات مثل الدعامات.  
6,"Interventional procedures and/or highly specific investigations or procedures related or not related directly to the Operation; such as MRI, CTScan, Tracheostomy, etc...",الفحوصات أو الإجراءات المتعلقة أو لا تتصل مباشرة بالعملية مثل الإجراءات التداخلية والفحوصات المتطورة. مثل التصوير بالرنين المغناطيسي والطبقي وفتح القصبة الهوائية، الخ ...
7,"Medication not related directly to the Operation such as treating D.M., Hypertension, etc.",ألأدوية التي لا تتصل مباشرة بالعملية مثل علاج السكري أو ارتفاع ضغط الدم، الخ
8,Discharge Medication / Take-Home Medication., الأدوية التي تصرف عند الخروج.
9,"Any description of packge inluding implants, instruments and prosthesis, it's the service of insertion such implants , instrument or the prosthesis, not its cost which will be charged seperatly. ",أي وصف لعملية شاملة يحتوي على  الأعضاء التعويضية و / أو التركيبات والمستلزمات، هو وصف لخدمة وضع او استخدام مثل هذه الأعضاء التعويضية و / أو التركيبات والمستلزمات وليس تكلفتها حيث انها ستحسب خارج سعر العملية الشاملة .
