Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,SAUDI GERMAN HOSPITAL - DAMMAM,,
,,,, P.D LIST 2019-2020,,
,,,,,,
,,,,,PACKAGES ,FINAL PRICE
,1.0,PACKAGE CODE ,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI
,22.0,1012002,E.N.T.,THROAT SURG.    ,ADENOTONSILECTOMY,4360.5
,80.0,2012004,GENERAL SURG.,MEDIUM SURG,ANAL FISSURECTOMY,5508
,179.0,2012018,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY / SURGICAL,6081.75
,183.0,2012021,GENERAL SURG.,MEDIUM SURG,"INGUINAL, UMBILICAL OR FEMORAL HERNIA",6655.5
,93.0,2012022,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY / LAPARASCOPIC ,8950.5
,161.0,2012005,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY ,5737.5
,217.0,2013006,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY / LAPARASCOPIC ,14458.5
,215.0,2013004,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY,9225
,119.0,2013020,GENERAL SURG.,MAJOR SURG,PARTIAL THYROIDECTOMY (SUB-TOTAL),9203.625
,285.0,2014023,GENERAL SURG.,FINE MAJOR SURG,OVARIAN CYSTECTOMY / LAPARASCOPIC ,8408.25
,156.0,2014045,GENERAL SURG.,FINE MAJOR SURG,THYROIDECTOMY / TOTAL,11589.75
,219.0,3011003,OBS & GYN,MINOR SURG,D WITH C WITH BIOPSY,2754
,540.0,3015008,OBS & GYN,DELIVERY,DELIVERY NORMAL (WITH NORMAL BABY),4475.25
,532.0,3015002,OBS & GYN,DELIVERY,DELIVERY CAESARIAN WITH NORMAL BABY,11016
,537.0,3015005,OBS & GYN,DELIVERY,DELIVERY CAESARIAN REPEATED (WITH NORMAL BABY),13315.274999999998
,1046.0,5013053,UROLOGY,MAJOR SURG,URETEROLITHOTOMY,10453.5
,1048.0,5013054,UROLOGY,MAJOR SURG,URETERORENOSCOPY WITH STONE EXTRACTION,11126.249999999998
,543.0,5014024,UROLOGY,FINE MAJOR SURG,URETHROLITHOTOMY (MIDDLE AND LOWER 1/3 CRUSHING),10453.5
,546.0,5021001,UROLOGY,LITHOTREPSY,E S W L FIRST SESSION,8491.5
,1189.0,6013024,ORTHOPEDIC,MAJOR SURG,OPEN REDUCTION AND INTERNAL FIXATION FOR COMMINUTED /MALUNITED FRACTURES OF TEMUR TIBIA AND HUMERUS,10989
,595.0,6013025,ORTHOPEDIC,MAJOR SURG,OPEN REDUCTION AND INTERNAL FIXATION OR PARTIAL/TOTAL EXCISION OF PATTALA,9009
,1191.0,6013026,ORTHOPEDIC,MAJOR SURG,"OPEN REDUCTION FOR FRACTURE DISLOCATION OF ANKLE, WRIST AND ELBOW.",10810.800000000001
,1242.0,6014040,ORTHOPEDIC,FINE MAJOR SURG,OPEN REDUCTION AND INTERNAL FIXATION FOR FRACTURES OF THE RADIUS WITH SCREWS PLATES,7028.775000000001
,2.0,1011001,E.N.T.,NOSE SURG.,ANTERIOR NASAL PACK (U.G.A.),1502
,4.0,1011002,E.N.T.,NOSE SURG.,MIDDLE MEATUS ANTROSTOMY/BILATERAL,7533
,3.0,1011003,E.N.T.,NOSE SURG.,SINSUS PUNCTURE (U.G.A.) / BILATERAL,2543
,6.0,1011004,E.N.T.,NOSE SURG.,CRYO-TURBINECTOMY,4654
,9.0,1011005,E.N.T.,NOSE SURG.,CAUTERIZATION OF THE NOSE / ENDOSCOPIC ,6237
,5.0,1011006,E.N.T.,NOSE SURG.,ETHMOIDECTOMY / ENDOSCOPIC ,11514
,10.0,1011007,E.N.T.,NOSE SURG.,TURBINECTOMY / PARTIAL / ENDOSCOPIC ,4654
,13.0,1011008,E.N.T.,NOSE SURG.,POLYPECTOMY AND ETHMOIDECTOMY / ENDOSCOPIC ,9835
,7.0,1011009,E.N.T.,NOSE SURG.,POLYPECTOMY AND ETHMOIDECTOMY / RECURRENT / ENDOSCOPIC ,11994
,14.0,1011010,E.N.T.,NOSE SURG.,EXAMINATION UNDER GENERAL ANESTHESIA,1212
,16.0,1011011,E.N.T.,NOSE SURG.,NASAL SINUS SURGERY / EXTERNAL ,11514
,8.0,1011012,E.N.T.,NOSE SURG.,NOSE FRACTURE,3695
,18.0,1011013,E.N.T.,NOSE SURG.,FUNCTIONAL ENDOSCOPIC SINUS SURGERY (FESS SURGERY),11628
,20.0,1011014,E.N.T.,NOSE SURG.,NASAL LASER SURGERY,4654
,11.0,1011015,E.N.T.,NOSE SURG.,NOSE MICROSURGERY,7533
,23.0,1011016,E.N.T.,NOSE SURG.,NASAL BIOPSY,2181
,24.0,1011017,E.N.T.,NOSE SURG.,NASAL CAUTERY UNDER (U.G.A.),1842
,12.0,1011018,E.N.T.,NOSE SURG.,NASAL FOREIGN BODY REMOVAL (U.G.A.),1890
,27.0,1011019,E.N.T.,NOSE SURG.,NASAL SEPTAL CORRECTION,5344
,29.0,1011020,E.N.T.,NOSE SURG.,OPEN REDUCTION / FRACTURED NOSE,10868
,15.0,1011021,E.N.T.,NOSE SURG.,ORO-ANTRAL FISTULA REPAIR,7916
,30.0,1011022,E.N.T.,NOSE SURG.,POSTERIOR NASAL PACK  (U.G.A.),2084
,32.0,1011023,E.N.T.,NOSE SURG.,ANTRAL FOREIGN BODY REMOVAL,3743
,17.0,1011024,E.N.T.,NOSE SURG.,RHINOPLASTY / REVISION (MEDIUM),4275
,35.0,1011025,E.N.T.,NOSE SURG.,RHINOPLASTY / MAJOR,12113
,37.0,1011026,E.N.T.,NOSE SURG.,RHINOPLASTY / MEDIUM,6595
,19.0,1011027,E.N.T.,NOSE SURG.,SEPTOPLASTY,5997
,39.0,1011028,E.N.T.,NOSE SURG.,SEPTORHINOPLASTY,11994
,40.0,1011029,E.N.T.,NOSE SURG.,TURBINECTOMY WITH SUBMUCOUS DIATHERMY,4654
,21.0,1011030,E.N.T.,NOSE SURG.,SUBMUCOUS RESECTION OF NASAL SPETUM,4092
,42.0,1011031,E.N.T.,NOSE SURG.,SINSUS PUNCTURE / UNILATERAL (U.G.A.),1938
,44.0,1012001,E.N.T.,THROAT SURG.    ,ADENOIDECTOMY,2084
,47.0,1012003,E.N.T.,THROAT SURG.    ,BRONCHOSCOPY,5278
,48.0,1012004,E.N.T.,THROAT SURG.    ,CLEFT PALATE REPAIR,11514
,25.0,1012005,E.N.T.,THROAT SURG.    ,ESOPHAGOSCOPY,2811
,51.0,1012006,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY DIAGNOSTIC,3049
,52.0,1012007,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY THERAPUTIC /  FOREIGN BODY REMOVAL ,4654
,26.0,1012008,E.N.T.,THROAT SURG.    ,QUINSY INCISION WITH DRAINAGE (U.G.A.),2084
,54.0,1012009,E.N.T.,THROAT SURG.    ,LASER ASSISTED UVULOPALATOPLASTY (L.A.U.P.) ,6477
,56.0,1012010,E.N.T.,THROAT SURG.    ,LARYNX LASER SURGERY,6861
,28.0,1012011,E.N.T.,THROAT SURG.    ,TONSILLECTOMY / LASER ,4078
,58.0,1012012,E.N.T.,THROAT SURG.    ,LYMPH NODE BIOPSY ,5518
,61.0,1012013,E.N.T.,THROAT SURG.    ,MICRO-LARYNGOSCOPY,2084
,31.0,1012014,E.N.T.,THROAT SURG.    ,MICRO-LARYNGOSURGERY,7197
,62.0,1012015,E.N.T.,THROAT SURG.    ,"PAN-ENDOSCOPY, TRIPLE PROCEDURE",3982
,64.0,1012016,E.N.T.,THROAT SURG.    ,THROAT PLASTIC SURGERY,9595
,33.0,1012017,E.N.T.,THROAT SURG.    ,SUBMANDIBULAR GLAND STONE REMOVAL / MEDIUM,3805
,67.0,1012018,E.N.T.,THROAT SURG.    ,SUBMANDIBULAR GLAND RESECTION,6573
,68.0,1012019,E.N.T.,THROAT SURG.    ,THROAT FOREIGN BODY REMOVAL (U.G.A.),1890
,34.0,1012020,E.N.T.,THROAT SURG.    ,TONSILLECTOMY,3731
,71.0,1012021,E.N.T.,THROAT SURG.    ,TRACHEOSTOMY,11514
,73.0,1012022,E.N.T.,THROAT SURG.    ,THROAT TUMOR SURGERY,11035
,36.0,1012023,E.N.T.,THROAT SURG.    ,UVULO-PALATO-PHARYNGOPLASTY / SNORING SURGERY,5662
,75.0,1013001,E.N.T.,EAR SURG.,PROMINANT EAR SURGERY,11035
,76.0,1013002,E.N.T.,EAR SURG.,MYRINGOTOMY / BILATERAL (U.G.A.),3695
,38.0,1013003,E.N.T.,EAR SURG.,CORTICAL MASTOIDECTOMY,3150
,78.0,1013004,E.N.T.,EAR SURG.,EAR FOREIGN BODY REMOVAL (U.G.A.),1890
,81.0,1013005,E.N.T.,EAR SURG.,ENDOLYMPHATIC SHUNT,12954
,41.0,1013006,E.N.T.,EAR SURG.,EXPLORATORY TYMPANOTOMY,8636
,82.0,1013007,E.N.T.,EAR SURG.,FACIAL NERVE SURGERY,13433
,85.0,1013008,E.N.T.,EAR SURG.,HEARING AID / IMPLANTABLE ,9452
,43.0,1013009,E.N.T.,EAR SURG.,EXTERNAL EAR ABSCESS INCISION WITH DRAINAGE,1890
,87.0,1013010,E.N.T.,EAR SURG.,LABYRINTHECTOMY,12474
,89.0,1013011,E.N.T.,EAR SURG.,LASER EAR SURGERY,9452
,45.0,1013012,E.N.T.,EAR SURG.,MASTOID ABSCESS DRAINAGE UNDER (U.G.A.),1890
,91.0,1013013,E.N.T.,EAR SURG.,MYRINGOPLASTY,8156
,92.0,1013014,E.N.T.,EAR SURG.,MYRINGOTOMY WITH GROMMET (U.G.A.) / BILATERAL,4700
,46.0,1013015,E.N.T.,EAR SURG.,MYRINGOTOMY WITH GROMMET (U.G.A.) / UNILATERAL ,3731
,95.0,1013016,E.N.T.,EAR SURG.,OSSICULOPLASTY,11035
,96.0,1013017,E.N.T.,EAR SURG.,EAR LOBULE PLASTIC SURGERY,4654
,49.0,1013018,E.N.T.,EAR SURG.,PRE-AURICLAR  FISTULA EXCISION ,9116
,99.0,1013019,E.N.T.,EAR SURG.,RADICAL MASTOIDECTOMY,13433
,101.0,1013020,E.N.T.,EAR SURG.,STAPEDECTOMY,13433
