Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,SAUDI GERMAN HOSPITAL - DAMMAM,,,
,,,SERVICES LIST 2019-2020,,,
,,,,,,
,,,,SERVICES,FINAL PRICE,
SER,SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI,
60,2112007,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY),1440,
62,2112009,ROOM & BOARD,ACCOMODATION,CACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY),1440,
63,2112010,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY),1440,
64,2112011,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - PER DAY  (BED ONLY),1440,
1619,7121290,LABORATORY,CHEMISTRY,FT3,288,
1614,7121285,LABORATORY,CHEMISTRY,FREE T4,180,
1348,7121019,LABORATORY,CHEMISTRY,ALBUMIN,68,
1437,7121108,LABORATORY,CHEMISTRY,BUN,68,
1531,7121202,LABORATORY,CHEMISTRY,"CREATININE, SERUM",68,
1557,7121228,LABORATORY,CHEMISTRY,DIRECT BILIRUBIN,68,
1637,7121308,LABORATORY,CHEMISTRY,GLUCOSE (SERUM) FASTING,68,
1638,7121309,LABORATORY,CHEMISTRY,GLUCOSE (SERUM) RANDOM,68,
1884,7121555,LABORATORY,CHEMISTRY,SGOT (AST),68,
1885,7121556,LABORATORY,CHEMISTRY,SGPT (ALT),68,
1891,7121562,LABORATORY,CHEMISTRY,"SODIUM, SERUM OR URINE",68,
1926,7121597,LABORATORY,CHEMISTRY,TOTAL BILIRUBIN,68,
1931,7121602,LABORATORY,CHEMISTRY,"TOTAL PROTEIN, SERUM",68,
1953,7121625,LABORATORY,CHEMISTRY,URIC ACID (SERUM),68,
1996,7122013,LABORATORY,HEMATOLOGY,GLYCOSYLATED HEMOGLOBIN (HB AIC),383,
1988,7122005,LABORATORY,HEMATOLOGY,CBC WITH DIFFERENTIAL COUNT,117,
1990,7122007,LABORATORY,HEMATOLOGY,COMPLETE BLOOD COUNT (CBC),108,
